UserId	LanguageCode	FileNames	SourceType	Author	Year	Title	Publisher	Journal	Volume	Number	Pages	Edition	Booktitle	Chapter/Pages	School	Editor	Notes	Series
TC	btx	btx_KaroBatak1.pdf	bookchapter	Woollams, Geoff	2006	Karo Batak 	Routledge				534-561	1st	The Austronesian Languages of Asia and Madagascar	19		Alexander Adelaar and Niklaus Himmelman		Routledge Language Family Series
TC	tgl	tgl_Himmelmann.pdf	bookchapter	Himmelman, Niklaus	2006	Tagalog	Routledge				350-356	1st	The Austronesian Languages of Asia and Madagascar	12		Alexander Adelaar and Niklaus Himmelman		
TC	kqr	kqr_Kroeger.pdf	bookchapter	Kroeger, Paul	2006	Kimaragang	Routledge				397-400	1st	The Austronesian Languages of Asia and Madagascar	14		Alexander Adelaar and Niklaus Himmelman		
TC	beg	beg_Clynes.pdf	bookchapter	Clynes, Adrian 	2006	Belait	Routledge				429-455	1st	The Austronesian Languages of Asia and Madagascar	15		Alexander Adelaar and Niklaus Himmelman		
TC	ssb	ssb_Jun.pdf	bookchapter	Jun, Akamine	2006	Sama (Bajau)	Routledge				377-382	1st	The Austronesian Languages of Asia and Madagascar	13		Alexander Adelaar and Niklaus Himmelman		
TC	ilo	ilo_Rubino.pdf	bookchapter	Rubino, Carl	2006	Iloko	Routledge				326-328	1st	The Austronesian Languages of Asia and Madagascar	11		Alexander Adelaar and Niklaus Himmelman		
TC	cjm	cjm_Thurgood.pdf	bookchapter	Thurgood, Craham	2006	Phan Rang Cham	Routledge				489-494	1st	The Austronesian Languages of Asia and Madagascar	17		Alexander Adelaar and Niklaus Himmelman		
TC	mkm	mkm_Larish.pdf	bookchapter	Larish, Michael	2006	Moklen	Routledge				513-519	1st	The Austronesian Languages of Asia and Madagascar	18		Alexander Adelaar and Niklaus Himmelman		
TC	mwt	mkm_Larish.pdf	bookchapter	Larish, Michael	2006	Moken	Routledge				513-520	1st	The Austronesian Languages of Asia and Madagascar	19		Alexander Adelaar and Niklaus Himmelman		
TC	nia	nia_Brown.pdf	bookchapter	Brown, Lea	2006	Nias	Routledge				562-564	1st	The Austronesian Languages of Asia and Madagascar	20		Alexander Adelaar and Niklaus Himmelman		
TC	jav	jav_Ogloblin.pdf	bookchapter	Ogloblin, Alexander	2006	Javanese	Routledge				590-594	1st	The Austronesian Languages of Asia and Madagascar	21		Alexander Adelaar and Niklaus Himmelman		
TC	blf	blf_Zubol.pdf	bookchapter	Zobel, Erik	2006	Buol	Routledge				625-628	1st	The Austronesian Languages of Asia and Madagascar	22		Alexander Adelaar and Niklaus Himmelman		
TC	mak	mak_Jukes.pdf	bookchapter	Jukes, Anthony	2006	Makassar	Routledge				649-652	1st	The Austronesian Languages of Asia and Madagascar	23		Alexander Adelaar and Niklaus Himmelman		
TC	xmz	xma_Mead.pdf	bookchapter	Mead, David	2006	Mori Bawah	Routledge				683-685	1st	The Austronesian Languages of Asia and Madagascar	24		Alexander Adelaar and Niklaus Himmelman		
TC	xbr	xbr_Klamer.pdf	bookchapter	Klamer, Marian	2006	Kambera	Routledge				709-710	1st	The Austronesian Languages of Asia and Madagascar	25		Alexander Adelaar and Niklaus Himmelman		
TC	tet	tet_Engelenhoven.pdf	bookchapter	Van Engelenhoven, Aone, and Catharina Williams-van Klinken	2006	Tetun and Leti	Routledge				735-739	1st	The Austronesian Languages of Asia and Madagascar	26		Alexander Adelaar and Niklaus Himmelman		
TC	lti	tet_Engelenhoven.pdf	bookchapter	Van Engelenhoven, Aone, and Catharina Williams-van Klinken	2006	Tetun and Leti	Routledge				735-740	1st	The Austronesian Languages of Asia and Madagascar	27		Alexander Adelaar and Niklaus Himmelman		
TC	mky	mky_Bowden.pdf	bookchapter	Bowden, John	2006	Taba	Routledge				769-773	1st	The Austronesian Languages of Asia and Madagascar	28		Alexander Adelaar and Niklaus Himmelman		
TC	bhw	bhw_Steinhauer.pdf	bookchapter	Steinhauer, Hein	2006	Biak	Routledge				793-795	1st	The Austronesian Languages of Asia and Madagascar	29		Alexander Adelaar and Niklaus Himmelman		
TC	abs	abs_Paauw.pdf	bookchapter	Paauw, Scott H.	2008	Phonology of Malay Contact Varieties	Ph D Dissertation				46-66		The Malay Contact Varieties of Eastern Indonesia: A Typological Comparison		University of Buffalo			
TC	bpq	abs_Paauw.pdf	bookchapter	Paauw, Scott H.	2008	Phonology of Malay Contact Varieties	Ph D Dissertation				46-66		The Malay Contact Varieties of Eastern Indonesia: A Typological Comparison		University of Buffalo			
TC	xmm	abs_Paauw.pdf	bookchapter	Paauw, Scott H.	2008	Phonology of Malay Contact Varieties	Ph D Dissertation				46-66		The Malay Contact Varieties of Eastern Indonesia: A Typological Comparison		University of Buffalo			
TC	mkn	abs_Paauw.pdf	bookchapter	Paauw, Scott H.	2008	Phonology of Malay Contact Varieties	Ph D Dissertation				46-66		The Malay Contact Varieties of Eastern Indonesia: A Typological Comparison		University of Buffalo			
TC	lrt	abs_Paauw.pdf	bookchapter	Paauw, Scott H.	2008	Phonology of Malay Contact Varieties	Ph D Dissertation				46-66		The Malay Contact Varieties of Eastern Indonesia: A Typological Comparison		University of Buffalo			
TC	max	abs_Paauw.pdf	bookchapter	Paauw, Scott H.	2008	Phonology of Malay Contact Varieties	Ph D Dissertation				46-66		The Malay Contact Varieties of Eastern Indonesia: A Typological Comparison		University of Buffalo			
TC	ind	idn_Snedden.pdf	bookchapter	Sneddon, J. Neil, et al. 	2010	Indonesian: A Comprehensive Gramamr	Routledge				8-12	2nd	Indonesian: A Comprehensive Grammar	1				
TC	mad	mad_Davies.pdf	bookchapter	Davies, William D.	2010	A Grammar of Madurese	De Gruyter Mouton				11-20		A Grammar of Madurese	2				
TC	ceb	Garry_Rubino.pdf	bookchapter	Wolff, John U.	2000	Cebuano	H. W. Wilson				121-123		Facts About the World's Languages			Jane Garry and Carl Rubino		
TC	ban	Garry_Rubino.pdf	bookchapter	Clynes, Adrian 	2000	Balinese	H. W. Wilson				55-57		Facts About the World's Languages			Jane Garry and Carl Rubino		
TC	bug	Garry_Rubino.pdf	bookchapter	Tol, Roger	2000	Bugis	H. W. Wilson				96-99		Facts About the World's Languages			Jane Garry and Carl Rubino		
TC	bcl	Garry_Rubino.pdf	bookchapter	Mintz, Malcolm W	2000	Bikol	H. W. Wilson				90-92		Facts About the World's Languages			Jane Garry and Carl Rubino		
TC	hil	Garry_Rubino.pdf	bookchapter	Zorc, David R. 	2000	Hiligaynon	H. W. Wilson				300-302		Facts About the World's Languages			Jane Garry and Carl Rubino		
TC	pam	Garry_Rubino.pdf	bookchapter	Kitano, Hiroaki	2000	Kapampangan	H. W. Wilson				371-373		Facts About the World's Languages			Jane Garry and Carl Rubino		
TC	min	Garry_Rubino.pdf	bookchapter	Fanany, Ismet	2000	Minangkabau	H. W. Wilson				483-485		Facts About the World's Languages			Jane Garry and Carl Rubino		
TC	pag	Garry_Rubino.pdf	bookchapter	Rubino, Carl	2000	Pangasinan	H. W. Wilson				539-541		Facts About the World's Languages			Jane Garry and Carl Rubino		
TC	tes	Tengger.doc	dissertation	Conners, Thomas	2008	Tengger	Yale University				49-52		Tengger Javanese					
