LanguageCode	LanguageName
ain	Ainu
aka	Akan
akz	Alabama
ale	Aleut
alh	Alawa
amc	Amahuaca
ame	Amuesha
amh	Amharic
anc	Angas
ant	Western Desert
apn	Apinaye
arn	Araucanian
ary	Moroccan Arabic
arz	Egyptian Arabic
auy	Auyana
awn	Awiya
jqr	Aymara
azj	Azerbaijani
adz	Adzera
ben	Bengali
beq	Beembe
bre	Breton
bsk	Burushaski
bao	Barasano
bul	Bulgarian
bbc	Batak
cao	Chacobo
car	Carib
cbi	Cayapa
cha	Chamorro
chf	Chontal
chp	Chipewyan
chv	Chuvash
cja	Cham
ckt	Chukchi
cmn	Mandarin Chinese
cni	Campa
crb	Island Carib
dag	Dagbani
lkt	Dakota
dap	Dafla
deu	German
dih	Digueno
ell	Modern Greek
eng	English
eus	Basque
eve	Even
ewe	Ewe
fia	Mahas-Fiyadikka
fin	Finnish
fra	French
gaa	Ga
gaj	Gadsup
gbp	Gbeya
gle	Irish Gaelic
grt	Garo
guc	Goajiro
gug	Guarani
hak	Hakka
hau	Hausa
haw	Hawaiian
hdn	Haida
heb	Modern Hebrew
hin	Hindi-Urdu
hop	Hopi
jiv	Jivaro
hun	Hungarian
hup	Hupa
hye	Armenian
iai	Iai
ibo	Igbo
ign	Moxo
irk	Iraqw
isl	Icelandic
ito	Itonama
ium	Yao
jav	Javanese
jpn	Japanese
kal	Inuit
kas	Kashimiri
kat	Georgian
kbd	Kabardian
kca	Ostyak
ket	Ket
kfe	Kota
kha	Khasi
khk	Khalkha
khl	Kaliai
khm	Cambodian
khr	Kharia
kir	Kirghiz
kjn	Kunjen
kmo	Washkuk
knc	Kanuri
kpv	Komi
kor	Korean
kru	Kurukh
ksw	Karen
kup	Kunimaipa
kwk	Kwakiutl
kyh	Karok
lbc	Lakkia
lbe	Lak
lgg	Logbara
lhu	Lahu
lit	Lithuanian
lue	Luvale
lui	Luiseno
luo	Luo
maq	Mazateco
mas	Maasai
maz	Mazahua
mhr	Cheremis
mig	Mixtec
mlt	Maltese
mph	Maung
mri	Maori
mrt	Margi
mya	Burmese
naq	Nama
nas	Nasioi
nav	Navaho
nez	Nez Perce
niv	Gilyak
nmu	Maidu
nna	Nyangumata
nob	Norwegian
noo	Nootka
nuy	Nunggubuyu
oca	Ocaina
ojg	Ojibwa
one	Oneida
ood	Pima
ote	Otomi
pan	Punjabi
pbb	Paez
pcc	Yay
pes	Persian
plt	Malagasy
pom	Pomo
por	Portuguese
pst	Pashto
quh	Quechua
rif	Shilha
ron	Rumanian
rus	Russian
sah	Yakut
sed	Sedang
see	Seneca
ses	Songhai
set	Sentani
sin	Sinhalese
snv	'Sa''ban'
som	Somali
spa	Spanish
spl	Selepet
als	Albanian
squ	Squamish
srq	Siriono
str	Salish
sun	Sundanese
swh	Swahili
tay	Atayal
tca	Ticuna
tel	Telugu
tew	Tewa
tgl	Tagalog
tha	Thai
tig	Tigre
tix	Tiwa
tlf	Telefol
tml	Asmat
tol	Chasta Costa
top	Totonac
tsz	Tarascan
tun	Tunica
tur	Turkish
tzh	Tzeltal
unm	Delaware
unr	Mundari
vie	Vietnamese
wap	Wapishana
wic	Wichita
wim	Wik-Munkan
wol	Wolof
wuu	Wu
xpe	Kpelle
xtc	Katcha
ykg	Yukaghir
yrk	Yurak
yuc	Yuchi
yue	Cantonese
zmr	Maranungku
zoc	Zoque
zsm	Malay
zul	Zulu
zun	Zuni
