segment,GlyphID,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,raisedLarynxEjective,loweredLarynxImplosive,click
pɸ,0070+0278,0,-,-,-,-,+,-,-,+,-,-,-,-,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
pf,0070+0066,0,-,-,-,-,+,-,-,+,-,-,-,-,-,+,-,+,-,0,0,0,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
tθ,0074+03B8,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
ts,0074+0073,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,+,-,+,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
tʃ,0074+0283,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
ʈʂ,0288+0282,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,-,+,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
cç,0063+00E7,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-
kx,006B+0078,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,-,-,-,-,-,-,-,-
qχ,0071+03C7,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-
bβ,0062+03B2,0,-,-,-,-,+,-,-,+,-,-,-,-,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
bv,0062+0076,0,-,-,-,-,+,-,-,+,-,-,-,-,-,+,-,+,-,0,0,0,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
dð,0064+00F0,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
dz,0064+007A,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,+,-,+,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
dʒ,0064+0292,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
ɖʐ,0256+0290,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,-,+,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
ɟʝ,025F+029D,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-
ɡɣ,0261+0263,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,+,-,-,-,-,-,-,-
ɢʁ,0262+0281,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,0,0,+,-,-,-,-,-,-,-
kp,006B+0070,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,+,+,-,-,-,0,0,0,-,-,-,-,-,-,-,-
ɡb,0261+0062,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,+,+,-,-,-,0,0,0,+,-,-,-,-,-,-,-
mbβ,006D+0062+03B2,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-",-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
mpf,006D+0070+0066,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-",-,+,-,+,-,0,0,0,-,0,0,0,0,0,0,0,"+,-",-,-,-,-,-,-,-
mbv,006D+0062+0076,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-",-,+,-,+,-,0,0,0,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
ndð,006E+0064+00F0,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-",-,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
nts,006E+0074+0073,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-",-,-,0,0,+,+,-,+,-,0,0,0,0,0,0,0,"+,-",-,-,-,-,-,-,-
ndz,006E+0064+007A,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-",-,-,0,0,+,+,-,+,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
ntʃ,006E+0074+0283,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-",-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,"+,-",-,-,-,-,-,-,-
ndʒ,006E+0064+0292,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-",-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
ɳʈʂ,0273+0288+0282,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-",-,-,0,0,+,-,-,+,-,0,0,0,0,0,0,0,"+,-",-,-,-,-,-,-,-
ɳɖʐ,0273+0256+0290,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-",-,-,0,0,+,-,-,+,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
ɲɟʝ,0272+025F+029D,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-",-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-
ŋkx,014B+006B+0078,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-",-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,"+,-",-,-,-,-,-,-,-
ŋɡɣ,014B+0261+0263,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-",-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,+,-,-,-,-,-,-,-
ɴɢʁ,0274+0262+0281,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-",-,-,0,0,-,0,0,0,+,-,-,-,+,0,0,0,+,-,-,-,-,-,-,-
ŋmkp,014B+006D+006B+0070,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,+,-,-,-,0,0,0,+,+,-,-,-,0,0,0,"+,-",-,-,-,-,-,-,-
ŋmɡb,014B+006D+0261+0062,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,+,-,-,-,0,0,0,+,+,-,-,-,0,0,0,+,-,-,-,-,-,-,-
dkx,0064+006B+0078,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,"+,-",+,-,-,-,"-,+",-,-,-,0,0,0,"+,-",-,-,-,-,-,-,-
ɡkx,0261+006B+0078,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,"+,-",-,-,-,-,-,-,-
ɡǀkx,0261+01C0+006B+0078,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,+,-,+,+,-,-,-,0,0,0,"+,-",-,-,-,-,-,-,+
ɡǁkx,0261+01C1+006B+0078,0,-,-,-,-,+,-,-,-,-,-,-,-,+,-,0,0,+,+,-,-,+,+,-,-,-,0,0,0,"+,-",-,-,-,-,-,-,+
ɡǂkx,0261+01C2+006B+0078,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,-,-,0,0,0,"+,-",-,-,-,-,-,-,+
ɡǃkx,0261+01C3+006B+0078,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,+,+,-,-,-,0,0,0,"+,-",-,-,-,-,-,-,+
ɡʘkx,0261+0298+006B+0078,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,+,+,-,-,-,0,0,0,"+,-",-,-,-,-,-,-,+
kǀkx,006B+01C0+006B+0078,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,+,-,+,+,-,-,-,0,0,0,-,-,-,-,-,-,-,+
kǁkx,006B+01C1+006B+0078,0,-,-,-,-,+,-,-,-,-,-,-,-,+,-,0,0,+,+,-,-,+,+,-,-,-,0,0,0,-,-,-,-,-,-,-,+
kǂkx,006B+01C2+006B+0078,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,-,-,0,0,0,-,-,-,-,-,-,-,+
kǃkx,006B+01C3+006B+0078,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,+,+,-,-,-,0,0,0,-,-,-,-,-,-,-,+
kʘkx,006B+0298+006B+0078,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,+,+,-,-,-,0,0,0,-,-,-,-,-,-,-,+
pkx,0070+006B+0078,0,-,-,-,-,+,-,-,+,-,-,-,-,-,+,-,-,-,0,0,0,+,+,-,-,-,0,0,0,-,-,-,-,-,-,-,-
tkx,0074+006B+0078,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,+,-,-,+,+,-,-,-,0,0,0,-,-,-,-,-,-,-,-
tʃx,0074+0283+0078,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,+,+,+,-,-,-,0,0,0,-,-,-,-,-,-,-,-
tsɦ,0074+0073+0266,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,"+,-",+,-,+,-,0,0,0,0,0,0,0,"-,+",-,"-,+",-,-,-,-,-
dʒx,0064+0292+0078,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,"+,-",-,+,+,"-,+",+,-,-,-,0,0,0,"+,-",-,-,-,-,-,-,-
kpɾ,006B+0070+027E,0,-,-,-,-,+,-,-,-,-,+,-,-,-,+,-,-,+,+,-,-,+,+,-,-,-,0,0,0,-,-,-,-,-,-,-,-
ɡbɾ,0261+0062+027E,0,-,-,-,-,+,-,-,-,-,+,-,-,-,+,-,-,+,+,-,-,+,+,-,-,-,0,0,0,+,-,-,-,-,-,-,-
kpr,006B+0070+0072,0,-,-,-,-,+,-,-,-,-,-,+,-,-,+,-,-,+,+,-,-,+,+,-,-,-,0,0,0,-,-,-,-,-,-,-,-
ɡbr,0261+0062+0072,0,-,-,-,-,+,-,-,-,-,-,+,-,-,+,-,-,+,+,-,-,+,+,-,-,-,0,0,0,+,-,-,-,-,-,-,-
tʃɾ,0074+0283+027E,0,-,-,-,-,+,-,-,+,-,+,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
dʒɾ,0064+0292+027E,0,-,-,-,-,+,-,-,+,-,+,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
ntʃɾ,006E+0074+0283+027E,0,-,-,-,-,+,"+,-",-,+,-,+,-,"+,-",-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,"+,-",-,-,-,-,-,-,-
ŋmkpɾ,014B+006D+006B+0070+027E,0,-,-,-,-,+,"+,-",-,-,-,"-,+",-,"+,-",-,+,-,-,+,+,-,-,+,+,-,-,-,0,0,0,"+,-",-,-,-,-,-,-,-
