SAPHON	IPA	NOTES
p'	pʼ	
pʰ	pʰ	
p	p	
p:	pː	
pʲ	pʲ	
pʲʰ	pʲʰ	
pʷ	pʷ	
ɓ̥	ɓ̥	
mp	mp	
ps	ps	
ʰb	ʱb	
b	b	
bβ	bβ	
b:	bː	
bʲ	bʲ	
bʷ	bʷ	
ɓ	ɓ	
b̰	b̰	
mbʲ	mbʲ	
mb	mb	
bz	bz	
t̪'	t̪ʼ	
t̪ʰ	t̪ʰ	
t̪	t̪	
d̪	d̪	
d̪ʰ	d̪ʱ	
t̪ʙ	t̪ʙ	
t'	tʼ	
tʰ	tʰ	
tx	tx	
ʰt	ʰt	
t	t	
t:	tː	
nt	nt	
ɗ̥	ɗ̥	
tʲ'	tʲʼ	
tʲ	tʲ	
tʲʰ	tʲʰ	
tʷ	tʷ	
ts'	tsʼ	
tsʰ	tsʰ	
ts	ts	
tsʲʰ	tsʲʰ	
tsʲ	tsʲ	
nts	nts	
ʰd	ʱd	
d	d	
dʰ	dʱ	
d:	dː	
nd	nd	
dʲ	dʲ	
ndʲ	ndʲ	
ɗ	ɗ	
d̰	d̰	
dz	dz	
ndz	ndz	
ndzʲ	ndzʲ	
ʈ'	ʈʼ	
ʈʰ	ʈʰ	
ʈ	ʈ	
ʈʂ'	ʈʂʼ	
ʈʂʰ	ʈʂʰ	
ʈʂ	ʈʂ	
ɳʈʂ	ɳʈʂ	
ɖ	ɖ	
ɖʐ	ɖʐ	
ɳɖʐ	ɳɖʐ	
tʃ'	t̠ʃʼ	
tʃʰ	t̠ʃʰ	
tʃ	t̠ʃ	
ntʃ	n̠t̠ʃ	
dʒ	d̠ʒ	
ndʒ	n̠d̠ʒ	
cç	cç	
c'	cʼ	
cʰ	cʰ	
ʰc	ʰc	
c	c	
c̰	cˀ	
ɟʝ	ɟʝ	
ʰɟ	ʱɟ	
ɟ	ɟ	
ɟ̰	ɟ̰	
kʲ'	kʲʼ	
kʲ	kʲ	
kʲʰ	kʲʰ	
kl	kl	
k̰	kˀ	
k'	kʼ	
kʰ	kʰ	
kx	kx	
ʰk	ʰk	
k	k	
k:	kː	
ŋk	ŋk	
kʷ'	kʷʼ	
ʰkʷ	ʰkʷ	
kʷ	kʷ	
kʷ:	kʷː	
kp	kp	
ɡ	ɡ	
ɡ:	ɡː	
ŋɡ	ŋɡ	
ŋɡʷ	ŋɡʷ	
ɠ	ɠ	
ɡ̰	ɡ̰	
ɡʷ	ɡʷ	
q'	qʼ	
qʰ	qʰ	
q	q	
qʷ	qʷ	
ɢ	ɢ	
ʔʲ	ʔʲ	
ʔ	ʔ	
ʰm	ʱm	
m	m	
m'	mʼ	(no lxs) voiced ejectives impossible
m̰	m̰	
mʰ	mʱ	
mʲ	mʲ	
mʷ	mʷ	
m:	mː	
m̥	m̥	
ɱ	ɱ	
n̪	n̪	
ʰn	ʱn	
n	n	
nʰ	nʱ	
nʲ	nʲ	
n:	nː	
n̰	n̰	
n̥	n̥	
ɲ	ɲ	
ɲ̰	ɲ̰	
ɲʰ	ɲʱ	
ɲ:	ɲː	
ɲ̥	ɲ̥	
ŋ	ŋ	
ŋʷ	ŋʷ	
ŋ̥	ŋ̥	
N	*N	
ɸ	ɸ	
ɸʲ	ɸʲ	
β	β	
βʲ	βʲ	
fʷ	fʷ	
f	f	
v	v	
θ	θ	
ð	ð	
s̪	s̪	
s	s	
sʲ	sʲ	
s'	sʼ	
sʰ	sʰ	
z	z	
ɬ	ɬ	
ʂ	ʂ	
ʐ	ʐ	
ʃ	ʃ	
ʒ	ʒ	
ʒ̺	ʐ	(yuz: Yurakaré) original source uses /ɹ̝/ and describes as "voiced post-alveolar fricative". There is a footnote to this description that is missing from the document. how is apical ʒ different from ʐ ? Mail sent to author of original source document.
ç	ç	
ʝ	ʝ	
x	x	
xʲ	xʲ	
xl	xl	
xʷ	xʷ	
ɣ	ɣ	
ɣʷ	ɣʷ	
χ	χ	
χʷ	χʷ	
ʁ	ʁ	
h	h	
h̃	h̃	
hʲ	hʲ	
hʷ	hʷ	
ʕ	ʕ	
ʰw	ʱw	
β̞	β̞	(cbr: Cashibo-Cacataibo) downtack on a fricative = an approximant, should use /w/?  update: This is the only /w/-like sound in this language, and this is the only language in SAPHON using this phoneme. Nonetheless, still not using /w/ due to its velar place features. Original transcription retained.
w	w	
w̃	w̃	
w'	wʼ	
w̰	w̰	
wʰ	wʱ	
wʲ	wʲ	
w:	wː	
ʋ	ʋ	
ð̞	ð̞	
ʰj	ʱj	
j	j	
j̃	j̃	
j̥	j̥	
j'	jʼ	(no lxs) voiced ejectives impossible
j̰	j̰	
j:	jː	
ɰ	ɰ	
ɾ	ɾ	
ɾ̃	ɾ̃	
ʰɾ	ʱɾ	
ɹ	ɹ	
ɾʲ	ɾʲ	
ʔɾ	ʔɾ	
ɺ	ɺ	
ɺ̥	ɺ̥	
r	r	
r̥	r̥	
l	l	
ɭ	ɭ	
l̥	l̥	
lʲ	lʲ	
l'	lʼ	(no lxs) voiced ejectives impossible
l:	lː	
l̪	l̪	
ɻ	ɻ	
ɽ	ɽ	
ʎ	ʎ	
ʀ	ʀ	
ʙ	ʙ	
i	i	
ĩ	ĩ	
ḭ̃	ḭ̃	
ḭ	ḭ	
i:	iː	
ĩ:	ĩː	
iʰ	iʱ	
ʏ	ʏ	
ɪ	ɪ	
ɪ:	ɪː	
ɪ̃	ɪ̃	
e	e	
ḛ̃	ḛ̃	
ḛ	ḛ	
ẽ	ẽ	
e:	eː	
ẽ:	ẽː	
eʰ	eʱ	
ɛ	ɛ	
ɛ̃	ɛ̃	
ɛ:	ɛː	
ɛ̃:	ɛ̃ː	
æ	æ	
æ̃	æ̃	
æ:	æː	
æ̃:	æ̃ː	
a	a	
ã̰	ã̰	
a̰	a̰	
ã	ã	
a:	aː	
ã:	ãː	
aʲ	aʲ	
ãʲ	ãʲ	
aʲ:	aʲː	
aʰ	aʱ	
ɒ	ɒ	
ɒ:	ɒː	
ɒ̃	ɒ̃	
ɑ	ɑ	
ɑ̰	ɑ̰	
ɑ̃	ɑ̃	
ɑ:	ɑː	
ɔ	ɔ	
ɔ̃	ɔ̃	
ɔ:	ɔː	
ɔ̃:	ɔ̃ː	
o	o	
õ̰	õ̰	
o̰	o̰	
õ	õ	
o:	oː	
õ:	õː	
oʰ	oʱ	
oʲ	oʲ	
õʲ	õʲ	
ʊ	ʊ	
ʊ:	ʊː	
ʊ̃	ʊ̃	
u	u	
ṵ̃	ṵ̃	
ṵ	ṵ	
ũ	ũ	
u:	uː	
ũ:	ũː	
uʰ	uʱ	
ɨ	ɨ	
ɨ̰	ɨ̰	
ɨ̃	ɨ̃	
ɨ:	ɨː	
ɨ̃:	ɨ̃ː	
ɨ̘	ɨ̘	
ɨi	ɨi	
ə	ə	
ə̰̃	ə̰̃	
ə̰	ə̰	
ə̃	ə̃	
ə:	əː	
ɘ	ɘ	
ə̃:	ə̃ː	
ɜ	ɜ	
ɐ̃	ɐ̃	
ʉ	ʉ	
ʉ̃	ʉ̃	
ʉ:	ʉː	
ɵ	ɵ	
ɵ:	ɵː	
œ	œ	
ø	ø	
ø:	øː	
ø̃	ø̃	
y	y	
ỹ	ỹ	
ʌ	ʌ	
ʌ̃	ʌ̃	
ʌ:	ʌː	
ʌ̃:	ʌ̃ː	
ɤ	ɤ	
ɤ̃	ɤ̃	
ɤ:	ɤː	
ɯi	ɯi	
ɯ	ɯ	
ɯ̰	ɯ̰	
ɯ̃	ɯ̃	
ɯ:	ɯː	
ɯ̃:	ɯ̃ː	
